aggregate_power,true_DWE,pred_DWE,true_FRE,pred_FRE,true_KTE,pred_KTE,true_MIC,pred_MIC,true_WME,pred_WME
339.524,1.0,0.2540160129853346,87.0,20.575297051812104,1.0,0.2540160129853346,1.0,0.2540160129853346,0.0,0.0
339.58832,1.0,0.2540160129853346,88.0,20.32128103882677,1.0,596.4295984895657,1.0,0.2540160129853346,0.0,0.0
339.195,1.0,0.2540160129853346,88.0,24.639553259577458,1.0,588.8091181000057,1.0,0.2540160129853346,0.0,0.0
339.51166,1.0,0.2540160129853346,88.0,20.575297051812104,1.0,583.4747818273136,1.0,0.2540160129853346,0.0,0.0
339.97168,1.0,0.2540160129853346,88.0,20.575297051812104,1.0,583.4747818273136,1.0,0.2540160129853346,0.0,0.0
340.125,1.0,0.2540160129853346,88.0,20.32128103882677,1.0,575.8543014377535,1.0,0.2540160129853346,0.0,0.0
339.35168,1.0,0.2540160129853346,88.0,20.32128103882677,1.0,585.5069099311962,1.0,0.2540160129853346,0.0,0.0
338.58167,1.0,0.2540160129853346,88.0,20.32128103882677,1.0,584.7448618922402,1.0,0.2540160129853346,0.0,0.0
338.70667,1.0,0.2540160129853346,88.0,20.32128103882677,1.0,588.8091181000057,1.0,0.2540160129853346,0.0,0.0
339.21167,1.0,0.2540160129853346,89.0,20.32128103882677,1.0,592.111326268815,1.0,0.2540160129853346,0.0,0.0
338.58167,1.0,0.2540160129853346,88.0,20.32128103882677,1.0,592.111326268815,1.0,0.2540160129853346,0.0,0.0
338.995,1.0,0.2540160129853346,88.0,20.32128103882677,1.0,581.6966697364162,1.0,0.2540160129853346,0.0,0.0
339.65668,1.0,0.2540160129853346,87.0,20.32128103882677,1.0,592.3653422818003,1.0,0.2540160129853346,0.0,0.0
339.57,1.0,0.2540160129853346,88.0,20.32128103882677,1.0,592.6193582947857,1.0,0.2540160129853346,0.0,0.0
339.28833,1.0,0.2540160129853346,88.0,20.575297051812104,1.0,586.7769899961229,1.0,0.2540160129853346,0.0,0.0
339.01166,1.0,0.2540160129853346,88.0,20.32128103882677,1.0,587.539038035079,1.0,0.2540160129853346,0.0,0.0
339.445,1.0,0.2540160129853346,88.0,20.32128103882677,1.0,655.3613135021633,1.0,0.2540160129853346,0.0,0.0
340.01666,1.0,0.2540160129853346,88.0,4.318272220750688,1.0,589.3171501259762,1.0,0.2540160129853346,0.0,0.0
339.975,1.0,0.2540160129853346,88.0,0.0,1.0,68.83833951902568,1.0,0.2540160129853346,0.0,0.0
